CMDLINE /home/d514/Documents/KPL26/KPL_Danu_Warisman_103122400041_S1SE-08-02/.venv/bin/python memori_profile.py
MEM 27.816406 1777970335.0026
MEM 27.832031 1777970335.1030
MEM 27.847656 1777970335.2035
MEM 27.859375 1777970335.3040
MEM 27.875000 1777970335.4044
MEM 27.886719 1777970335.5049
MEM 27.902344 1777970335.6056
MEM 27.917969 1777970335.7060
MEM 27.933594 1777970335.8067
MEM 27.945312 1777970335.9072
MEM 27.960938 1777970336.0076
MEM 27.976562 1777970336.1080
MEM 27.992188 1777970336.2085
MEM 28.007812 1777970336.3089
MEM 28.023438 1777970336.4094
MEM 28.042969 1777970336.5100
MEM 28.054688 1777970336.6106
MEM 28.070312 1777970336.7111
MEM 28.085938 1777970336.8116
MEM 28.097656 1777970336.9121
MEM 28.113281 1777970337.0127
MEM 28.128906 1777970337.1132
MEM 28.144531 1777970337.2136
MEM 28.156250 1777970337.3141
MEM 28.171875 1777970337.4145
MEM 28.187500 1777970337.5150
MEM 28.199219 1777970337.6154
MEM 28.214844 1777970337.7159
MEM 28.226562 1777970337.8164
MEM 28.242188 1777970337.9170
MEM 28.261719 1777970338.0176
MEM 28.277344 1777970338.1181
MEM 28.292969 1777970338.2185
MEM 28.312500 1777970338.3190
MEM 28.332031 1777970338.4195
MEM 28.351562 1777970338.5199
MEM 28.371094 1777970338.6205
MEM 28.390625 1777970338.7209
MEM 28.410156 1777970338.8214
MEM 28.429688 1777970338.9227
MEM 28.445312 1777970339.0234
MEM 28.460938 1777970339.1238
MEM 28.480469 1777970339.2242
MEM 28.500000 1777970339.3246
MEM 28.515625 1777970339.4252
MEM 28.535156 1777970339.5256
MEM 28.550781 1777970339.6260
MEM 28.570312 1777970339.7265
MEM 28.589844 1777970339.8270
MEM 28.609375 1777970339.9276
MEM 28.621094 1777970340.0281
MEM 28.636719 1777970340.1287
MEM 28.656250 1777970340.2292
MEM 28.675781 1777970340.3296
MEM 28.691406 1777970340.4300
MEM 28.707031 1777970340.5307
MEM 28.722656 1777970340.6311
MEM 28.738281 1777970340.7316
MEM 28.753906 1777970340.8320
MEM 28.769531 1777970340.9326
MEM 28.785156 1777970341.0330
MEM 29.281250 1777970341.1335
MEM 29.300781 1777970341.2340
MEM 29.320312 1777970341.3345
MEM 29.339844 1777970341.4350
MEM 29.359375 1777970341.5355
MEM 29.386719 1777970341.6359
MEM 29.410156 1777970341.7363
MEM 29.429688 1777970341.8367
MEM 29.453125 1777970341.9371
MEM 29.472656 1777970342.0376
MEM 29.492188 1777970342.1380
MEM 29.511719 1777970342.2384
MEM 29.531250 1777970342.3389
MEM 29.550781 1777970342.4394
MEM 29.570312 1777970342.5398
MEM 29.589844 1777970342.6404
MEM 29.609375 1777970342.7408
MEM 29.625000 1777970342.8413
MEM 29.644531 1777970342.9418
MEM 29.660156 1777970343.0423
MEM 29.675781 1777970343.1428
MEM 29.695312 1777970343.2432
MEM 29.714844 1777970343.3438
